date,event_id,event_type,city,language,venue_capacity,base_ticket_price,discount_pct,final_ticket_price,tickets_sold,occupancy_rate,revenue
2023-01-25,E017,Sports,Pune,Tamil,486,400,15,340.0,100,0.21,34000.0
2023-01-25,E018,Concert,Chennai,English,1189,300,15,255.0,97,0.08,24735.0
2023-01-26,E009,Concert,Bangalore,Tamil,272,200,10,180.0,102,0.38,18360.0
2023-01-26,E010,Sports,Mumbai,English,904,500,0,500.0,87,0.1,43500.0
2023-01-26,E011,Movie,Chennai,Telugu,804,250,5,237.5,46,0.06,10925.0
2023-01-26,E012,Theatre,Delhi,English,1003,400,10,360.0,95,0.09,34200.0
2023-01-26,E014,Movie,Chennai,Telugu,1131,250,20,200.0,109,0.1,21800.0
2023-01-26,E018,Concert,Chennai,English,1189,200,25,150.0,66,0.06,9900.0
2023-01-27,E013,Movie,Chennai,Telugu,959,400,25,300.0,53,0.06,15900.0
2023-01-27,E015,Concert,Bangalore,Tamil,419,250,10,225.0,127,0.3,28575.0
2023-01-28,E002,Theatre,Pune,Hindi,545,150,0,150.0,57,0.1,8550.0
2023-01-28,E005,Sports,Delhi,Tamil,644,250,15,212.5,52,0.08,11050.0
2023-01-28,E007,Movie,Bangalore,Hindi,490,400,0,400.0,60,0.12,24000.0
2023-01-28,E007,Movie,Bangalore,Hindi,490,150,20,120.0,64,0.13,7680.0
2023-01-28,E012,Theatre,Delhi,English,1003,200,20,160.0,121,0.12,19360.0
2023-01-28,E015,Concert,Bangalore,Tamil,419,300,15,255.0,161,0.38,41055.0
2023-01-28,E020,Stand-up,Chennai,Tamil,403,250,20,200.0,51,0.13,10200.0
2023-01-28,E023,Sports,Hyderabad,Telugu,509,350,0,350.0,129,0.25,45150.0
2023-01-28,E024,Theatre,Bangalore,Tamil,1016,300,5,285.0,128,0.13,36480.0
2023-01-29,E001,Theatre,Pune,Tamil,411,350,0,350.0,98,0.24,34300.0
2023-01-29,E003,Stand-up,Delhi,Hindi,367,150,20,120.0,137,0.37,16440.0
2023-01-29,E006,Theatre,Chennai,Hindi,352,150,5,142.5,155,0.44,22087.5
2023-01-29,E007,Movie,Bangalore,Hindi,490,500,5,475.0,68,0.14,32300.0
2023-01-29,E008,Movie,Pune,Telugu,694,500,20,400.0,149,0.21,59600.0
2023-01-29,E024,Theatre,Bangalore,Tamil,1016,250,10,225.0,89,0.09,20025.0
2023-01-30,E010,Sports,Mumbai,English,904,150,20,120.0,48,0.05,5760.0
2023-01-30,E014,Movie,Chennai,Telugu,1131,500,20,400.0,63,0.06,25200.0
2023-01-30,E017,Sports,Pune,Tamil,486,400,5,380.0,57,0.12,21660.0
2023-01-30,E022,Sports,Pune,English,1044,300,5,285.0,57,0.05,16245.0
2023-01-30,E023,Sports,Hyderabad,Telugu,509,250,0,250.0,91,0.18,22750.0
2023-01-31,E003,Stand-up,Delhi,Hindi,367,300,10,270.0,89,0.24,24030.0
2023-01-31,E003,Stand-up,Delhi,Hindi,367,300,20,240.0,21,0.06,5040.0
2023-01-31,E007,Movie,Bangalore,Hindi,490,400,15,340.0,29,0.06,9860.0
2023-01-31,E008,Movie,Pune,Telugu,694,500,10,450.0,40,0.06,18000.0
2023-01-31,E010,Sports,Mumbai,English,904,150,15,127.5,139,0.15,17722.5
2023-01-31,E012,Theatre,Delhi,English,1003,350,25,262.5,87,0.09,22837.5
2023-01-31,E019,Concert,Delhi,Tamil,1146,500,5,475.0,46,0.04,21850.0
2023-02-01,E005,Sports,Delhi,Tamil,644,250,15,212.5,74,0.11,15725.0
2023-02-01,E007,Movie,Bangalore,Hindi,490,300,10,270.0,106,0.22,28620.0
2023-02-01,E008,Movie,Pune,Telugu,694,350,5,332.5,117,0.17,38902.5
2023-02-01,E012,Theatre,Delhi,English,1003,350,15,297.5,59,0.06,17552.5
2023-02-01,E016,Concert,Bangalore,Tamil,716,400,0,400.0,117,0.16,46800.0
2023-02-01,E019,Concert,Delhi,Tamil,1146,200,25,150.0,117,0.1,17550.0
2023-02-01,E021,Stand-up,Mumbai,Telugu,549,250,5,237.5,87,0.16,20662.5
2023-02-02,E002,Theatre,Pune,Hindi,545,150,20,120.0,25,0.05,3000.0
2023-02-02,E008,Movie,Pune,Telugu,694,400,10,360.0,66,0.1,23760.0
2023-02-02,E016,Concert,Bangalore,Tamil,716,300,10,270.0,131,0.18,35370.0
2023-02-02,E021,Stand-up,Mumbai,Telugu,549,150,10,135.0,62,0.11,8370.0
2023-02-03,E002,Theatre,Pune,Hindi,545,400,15,340.0,79,0.14,26860.0
2023-02-03,E012,Theatre,Delhi,English,1003,400,15,340.0,120,0.12,40800.0
2023-02-03,E015,Concert,Bangalore,Tamil,419,350,25,262.5,136,0.32,35700.0
2023-02-03,E015,Concert,Bangalore,Tamil,419,250,10,225.0,103,0.25,23175.0
2023-02-03,E024,Theatre,Bangalore,Tamil,1016,500,15,425.0,147,0.14,62475.0
2023-02-04,E002,Theatre,Pune,Hindi,545,300,0,300.0,32,0.06,9600.0
2023-02-04,E004,Theatre,Mumbai,Telugu,712,250,15,212.5,120,0.17,25500.0
2023-02-04,E011,Movie,Chennai,Telugu,804,500,10,450.0,118,0.15,53100.0
2023-02-04,E017,Sports,Pune,Tamil,486,500,5,475.0,205,0.42,97375.0
2023-02-04,E019,Concert,Delhi,Tamil,1146,500,15,425.0,211,0.18,89675.0
2023-02-04,E022,Sports,Pune,English,1044,500,20,400.0,141,0.14,56400.0
2023-02-04,E024,Theatre,Bangalore,Tamil,1016,300,25,225.0,154,0.15,34650.0
2023-02-05,E001,Theatre,Pune,Tamil,411,300,5,285.0,50,0.12,14250.0
2023-02-05,E004,Theatre,Mumbai,Telugu,712,200,20,160.0,161,0.23,25760.0
2023-02-05,E006,Theatre,Chennai,Hindi,352,250,25,187.5,158,0.45,29625.0
2023-02-05,E012,Theatre,Delhi,English,1003,300,0,300.0,35,0.03,10500.0
2023-02-05,E016,Concert,Bangalore,Tamil,716,350,5,332.5,98,0.14,32585.0
2023-02-05,E020,Stand-up,Chennai,Tamil,403,150,15,127.5,137,0.34,17467.5
2023-02-06,E003,Stand-up,Delhi,Hindi,367,400,20,320.0,81,0.22,25920.0
2023-02-06,E003,Stand-up,Delhi,Hindi,367,150,25,112.5,50,0.14,5625.0
2023-02-06,E020,Stand-up,Chennai,Tamil,403,200,0,200.0,50,0.12,10000.0
2023-02-06,E021,Stand-up,Mumbai,Telugu,549,200,25,150.0,35,0.06,5250.0
2023-02-06,E023,Sports,Hyderabad,Telugu,509,500,0,500.0,59,0.12,29500.0
2023-02-07,E007,Movie,Bangalore,Hindi,490,400,25,300.0,53,0.11,15900.0
2023-02-07,E015,Concert,Bangalore,Tamil,419,350,15,297.5,133,0.32,39567.5
2023-02-07,E015,Concert,Bangalore,Tamil,419,150,0,150.0,48,0.11,7200.0
2023-02-07,E018,Concert,Chennai,English,1189,400,20,320.0,143,0.12,45760.0
2023-02-07,E020,Stand-up,Chennai,Tamil,403,250,25,187.5,96,0.24,18000.0
2023-02-08,E001,Theatre,Pune,Tamil,411,300,5,285.0,79,0.19,22515.0
2023-02-08,E014,Movie,Chennai,Telugu,1131,500,5,475.0,50,0.04,23750.0
2023-02-08,E018,Concert,Chennai,English,1189,150,5,142.5,29,0.02,4132.5
2023-02-08,E018,Concert,Chennai,English,1189,350,15,297.5,150,0.13,44625.0
2023-02-08,E021,Stand-up,Mumbai,Telugu,549,200,25,150.0,101,0.18,15150.0
2023-02-08,E022,Sports,Pune,English,1044,400,0,400.0,110,0.11,44000.0
2023-02-08,E025,Theatre,Bangalore,Hindi,674,350,25,262.5,77,0.11,20212.5
2023-02-09,E008,Movie,Pune,Telugu,694,500,0,500.0,92,0.13,46000.0
2023-02-09,E011,Movie,Chennai,Telugu,804,200,10,180.0,116,0.14,20880.0
2023-02-09,E012,Theatre,Delhi,English,1003,150,20,120.0,41,0.04,4920.0
2023-02-09,E015,Concert,Bangalore,Tamil,419,300,0,300.0,139,0.33,41700.0
2023-02-10,E001,Theatre,Pune,Tamil,411,400,0,400.0,127,0.31,50800.0
2023-02-10,E004,Theatre,Mumbai,Telugu,712,500,25,375.0,43,0.06,16125.0
2023-02-10,E011,Movie,Chennai,Telugu,804,400,20,320.0,62,0.08,19840.0
2023-02-10,E020,Stand-up,Chennai,Tamil,403,350,20,280.0,51,0.13,14280.0
2023-02-10,E023,Sports,Hyderabad,Telugu,509,350,20,280.0,169,0.33,47320.0
2023-02-11,E009,Concert,Bangalore,Tamil,272,200,0,200.0,185,0.68,37000.0
2023-02-11,E010,Sports,Mumbai,English,904,200,15,170.0,163,0.18,27710.0
2023-02-11,E012,Theatre,Delhi,English,1003,150,0,150.0,71,0.07,10650.0
2023-02-11,E015,Concert,Bangalore,Tamil,419,500,15,425.0,143,0.34,60775.0
2023-02-11,E016,Concert,Bangalore,Tamil,716,500,5,475.0,214,0.3,101650.0
2023-02-11,E023,Sports,Hyderabad,Telugu,509,500,25,375.0,49,0.1,18375.0
2023-02-12,E008,Movie,Pune,Telugu,694,500,20,400.0,61,0.09,24400.0
2023-02-12,E008,Movie,Pune,Telugu,694,150,10,135.0,121,0.17,16335.0
2023-02-12,E021,Stand-up,Mumbai,Telugu,549,250,10,225.0,124,0.23,27900.0
2023-02-12,E022,Sports,Pune,English,1044,350,5,332.5,154,0.15,51205.0
2023-02-13,E007,Movie,Bangalore,Hindi,490,350,0,350.0,53,0.11,18550.0
2023-02-13,E010,Sports,Mumbai,English,904,350,5,332.5,139,0.15,46217.5
2023-02-13,E018,Concert,Chennai,English,1189,200,0,200.0,127,0.11,25400.0
2023-02-13,E018,Concert,Chennai,English,1189,300,0,300.0,141,0.12,42300.0
2023-02-13,E019,Concert,Delhi,Tamil,1146,250,5,237.5,113,0.1,26837.5
2023-02-13,E020,Stand-up,Chennai,Tamil,403,350,20,280.0,40,0.1,11200.0
2023-02-13,E023,Sports,Hyderabad,Telugu,509,150,0,150.0,80,0.16,12000.0
2023-02-14,E004,Theatre,Mumbai,Telugu,712,500,20,400.0,97,0.14,38800.0
2023-02-14,E005,Sports,Delhi,Tamil,644,400,10,360.0,131,0.2,47160.0
2023-02-14,E008,Movie,Pune,Telugu,694,150,5,142.5,85,0.12,12112.5
2023-02-14,E020,Stand-up,Chennai,Tamil,403,150,20,120.0,109,0.27,13080.0
2023-02-14,E025,Theatre,Bangalore,Hindi,674,500,25,375.0,84,0.12,31500.0
2023-02-15,E002,Theatre,Pune,Hindi,545,300,15,255.0,77,0.14,19635.0
2023-02-15,E005,Sports,Delhi,Tamil,644,300,10,270.0,115,0.18,31050.0
2023-02-15,E006,Theatre,Chennai,Hindi,352,350,15,297.5,80,0.23,23800.0
2023-02-15,E009,Concert,Bangalore,Tamil,272,400,10,360.0,144,0.53,51840.0
2023-02-15,E009,Concert,Bangalore,Tamil,272,200,15,170.0,107,0.39,18190.0
2023-02-15,E011,Movie,Chennai,Telugu,804,350,15,297.5,77,0.1,22907.5
2023-02-15,E012,Theatre,Delhi,English,1003,150,20,120.0,20,0.02,2400.0
2023-02-15,E015,Concert,Bangalore,Tamil,419,150,25,112.5,137,0.33,15412.5
2023-02-15,E016,Concert,Bangalore,Tamil,716,400,0,400.0,28,0.04,11200.0
2023-02-16,E010,Sports,Mumbai,English,904,250,10,225.0,113,0.12,25425.0
2023-02-16,E011,Movie,Chennai,Telugu,804,400,0,400.0,27,0.03,10800.0
2023-02-16,E013,Movie,Chennai,Telugu,959,250,0,250.0,28,0.03,7000.0
2023-02-16,E016,Concert,Bangalore,Tamil,716,250,0,250.0,100,0.14,25000.0
2023-02-16,E019,Concert,Delhi,Tamil,1146,350,5,332.5,102,0.09,33915.0
2023-02-17,E003,Stand-up,Delhi,Hindi,367,150,5,142.5,112,0.31,15960.0
2023-02-17,E005,Sports,Delhi,Tamil,644,150,0,150.0,136,0.21,20400.0
2023-02-17,E007,Movie,Bangalore,Hindi,490,250,5,237.5,71,0.14,16862.5
2023-02-17,E010,Sports,Mumbai,English,904,250,10,225.0,96,0.11,21600.0
2023-02-17,E025,Theatre,Bangalore,Hindi,674,300,15,255.0,103,0.15,26265.0
2023-02-18,E006,Theatre,Chennai,Hindi,352,350,0,350.0,28,0.08,9800.0
2023-02-18,E011,Movie,Chennai,Telugu,804,200,20,160.0,81,0.1,12960.0
2023-02-18,E019,Concert,Delhi,Tamil,1146,500,15,425.0,52,0.05,22100.0
2023-02-18,E019,Concert,Delhi,Tamil,1146,150,20,120.0,202,0.18,24240.0
2023-02-18,E025,Theatre,Bangalore,Hindi,674,150,15,127.5,39,0.06,4972.5
2023-02-19,E007,Movie,Bangalore,Hindi,490,350,5,332.5,85,0.17,28262.5
2023-02-19,E011,Movie,Chennai,Telugu,804,200,15,170.0,70,0.09,11900.0
2023-02-19,E014,Movie,Chennai,Telugu,1131,400,10,360.0,75,0.07,27000.0
2023-02-19,E017,Sports,Pune,Tamil,486,200,15,170.0,192,0.4,32640.0
2023-02-19,E023,Sports,Hyderabad,Telugu,509,150,0,150.0,100,0.2,15000.0
2023-02-20,E006,Theatre,Chennai,Hindi,352,150,25,112.5,43,0.12,4837.5
2023-02-20,E010,Sports,Mumbai,English,904,200,20,160.0,57,0.06,9120.0
2023-02-20,E010,Sports,Mumbai,English,904,150,0,150.0,139,0.15,20850.0
2023-02-20,E016,Concert,Bangalore,Tamil,716,300,15,255.0,29,0.04,7395.0
2023-02-20,E019,Concert,Delhi,Tamil,1146,300,15,255.0,49,0.04,12495.0
2023-02-20,E024,Theatre,Bangalore,Tamil,1016,300,15,255.0,63,0.06,16065.0
2023-02-21,E001,Theatre,Pune,Tamil,411,300,5,285.0,22,0.05,6270.0
2023-02-21,E001,Theatre,Pune,Tamil,411,200,10,180.0,70,0.17,12600.0
2023-02-21,E008,Movie,Pune,Telugu,694,400,20,320.0,75,0.11,24000.0
2023-02-21,E009,Concert,Bangalore,Tamil,272,250,20,200.0,68,0.25,13600.0
2023-02-21,E010,Sports,Mumbai,English,904,500,25,375.0,107,0.12,40125.0
2023-02-21,E012,Theatre,Delhi,English,1003,500,15,425.0,27,0.03,11475.0
2023-02-21,E019,Concert,Delhi,Tamil,1146,150,10,135.0,127,0.11,17145.0
2023-02-21,E020,Stand-up,Chennai,Tamil,403,400,0,400.0,43,0.11,17200.0
2023-02-21,E022,Sports,Pune,English,1044,150,0,150.0,44,0.04,6600.0
2023-02-22,E006,Theatre,Chennai,Hindi,352,500,25,375.0,75,0.21,28125.0
2023-02-23,E001,Theatre,Pune,Tamil,411,350,0,350.0,71,0.17,24850.0
2023-02-23,E004,Theatre,Mumbai,Telugu,712,500,15,425.0,92,0.13,39100.0
2023-02-23,E004,Theatre,Mumbai,Telugu,712,150,20,120.0,61,0.09,7320.0
2023-02-23,E004,Theatre,Mumbai,Telugu,712,400,10,360.0,43,0.06,15480.0
2023-02-23,E006,Theatre,Chennai,Hindi,352,400,0,400.0,85,0.24,34000.0
2023-02-23,E008,Movie,Pune,Telugu,694,250,10,225.0,80,0.12,18000.0
2023-02-23,E018,Concert,Chennai,English,1189,150,20,120.0,153,0.13,18360.0
2023-02-24,E007,Movie,Bangalore,Hindi,490,500,0,500.0,140,0.29,70000.0
2023-02-24,E009,Concert,Bangalore,Tamil,272,150,5,142.5,52,0.19,7410.0
2023-02-24,E019,Concert,Delhi,Tamil,1146,200,10,180.0,194,0.17,34920.0
2023-02-24,E024,Theatre,Bangalore,Tamil,1016,400,25,300.0,142,0.14,42600.0
2023-02-25,E005,Sports,Delhi,Tamil,644,500,20,400.0,161,0.25,64400.0
2023-02-25,E009,Concert,Bangalore,Tamil,272,500,5,475.0,81,0.3,38475.0
2023-02-25,E011,Movie,Chennai,Telugu,804,200,20,160.0,147,0.18,23520.0
2023-02-25,E020,Stand-up,Chennai,Tamil,403,250,20,200.0,78,0.19,15600.0
2023-02-25,E020,Stand-up,Chennai,Tamil,403,400,5,380.0,121,0.3,45980.0
2023-02-25,E021,Stand-up,Mumbai,Telugu,549,400,20,320.0,70,0.13,22400.0
2023-02-26,E008,Movie,Pune,Telugu,694,300,10,270.0,161,0.23,43470.0
2023-02-26,E014,Movie,Chennai,Telugu,1131,350,10,315.0,28,0.02,8820.0
2023-02-26,E023,Sports,Hyderabad,Telugu,509,200,20,160.0,100,0.2,16000.0
2023-02-27,E008,Movie,Pune,Telugu,694,200,0,200.0,94,0.14,18800.0
2023-02-27,E016,Concert,Bangalore,Tamil,716,500,15,425.0,46,0.06,19550.0
2023-02-27,E025,Theatre,Bangalore,Hindi,674,400,25,300.0,68,0.1,20400.0
2023-02-28,E002,Theatre,Pune,Hindi,545,350,20,280.0,100,0.18,28000.0
2023-02-28,E003,Stand-up,Delhi,Hindi,367,400,25,300.0,83,0.23,24900.0
2023-02-28,E004,Theatre,Mumbai,Telugu,712,300,0,300.0,69,0.1,20700.0
2023-02-28,E012,Theatre,Delhi,English,1003,150,20,120.0,40,0.04,4800.0
2023-02-28,E015,Concert,Bangalore,Tamil,419,350,10,315.0,132,0.32,41580.0
2023-02-28,E016,Concert,Bangalore,Tamil,716,250,5,237.5,81,0.11,19237.5
2023-02-28,E025,Theatre,Bangalore,Hindi,674,200,5,190.0,100,0.15,19000.0
2023-03-02,E006,Theatre,Chennai,Hindi,352,250,0,250.0,54,0.15,13500.0
2023-03-02,E010,Sports,Mumbai,English,904,250,25,187.5,91,0.1,17062.5
2023-03-02,E011,Movie,Chennai,Telugu,804,500,10,450.0,104,0.13,46800.0
2023-03-02,E012,Theatre,Delhi,English,1003,200,0,200.0,96,0.1,19200.0
2023-03-02,E019,Concert,Delhi,Tamil,1146,400,10,360.0,41,0.04,14760.0
2023-03-02,E022,Sports,Pune,English,1044,200,5,190.0,115,0.11,21850.0
2023-03-03,E002,Theatre,Pune,Hindi,545,500,25,375.0,163,0.3,61125.0
2023-03-03,E009,Concert,Bangalore,Tamil,272,200,0,200.0,149,0.55,29800.0
2023-03-03,E015,Concert,Bangalore,Tamil,419,200,25,150.0,136,0.32,20400.0
